text,label
"Subject: Increase your Google website traffic now!
Do you want more visitors to your website? We can guarantee 50,000 real visitors per month starting at just $29. Boost your sales today. Visit http://seo-traffic-boosters.net/plans.

To unsubscribe from this list, click here: http://unsubscribe-link-center.com/unsub/27.",spam
"Subject: Quick Request - Wire Transfer
Hey, can you initiate a wire transfer of $15,000 to our new supplier? I need this processed before the close of business today. Details are attached. Send confirmation once done. Thanks, Chief Executive Officer.

Security Reference ID: PSG-98118.",phishing
"Subject: Quick Request - Wire Transfer
Hey, can you initiate a wire transfer of $15,000 to our new supplier? I need this processed before the close of business today. Details are attached. Send confirmation once done. Thanks, Chief Executive Officer.

Security Reference ID: PSG-9870.",phishing
"Subject: Invoice #847293 details from Quickbooks
Please find attached invoice #847293 for your recent order of software licenses. Amount Due: $2,850.00. Payment is past due. Review the invoice here: http://quickbooks-billing-pdf-viewer.com/invoices/847293.pdf and submit payment immediately.

Security Reference ID: PSG-98113.",phishing
"Subject: Netflix: Confirming your subscription renewal
Thank you for being a Netflix member. This is to confirm your subscription has been renewed for another month. Your payment of $15.49 was charged to your card on file. If you have questions, visit our help center.

Regards,
Team Support",legitimate
"Subject: Outstanding Invoice - Urgent Payment Requested
Dear vendor, we have not received payment for invoice INV-2026-902. Please review the statement and send the payment of $4,900.00 to avoid late fees. Secure link: http://invoice-payment-gateway-sec.cc/inv/902.

Security Reference ID: PSG-9842.",phishing
"Subject: Plans for dinner this weekend?
Hey! Just checking in to see if you are free for dinner this Saturday. There is a new Italian restaurant downtown we should check out. Let me know what time works for you. Best, Sarah.

Regards,
Team Support",legitimate
"Subject: Chase Bank Notification: Unusual Activity Detected
Security Alert: We noticed a login attempt from a new location (IP: 182.22.45.109). If this was not you, click here immediately to lock your account: http://chase-security-alert-center.com/lock-account. Avoid account freeze.

Security Reference ID: PSG-98100.",phishing
"Subject: Lowest mortgage rates in years - Lock your rate!
Refinance today and save thousands of dollars on your monthly mortgage payments. Quick approval in minutes. Apply here: http://low-rates-mortgage-advisor.com/apply.

To unsubscribe from this list, click here: http://unsubscribe-link-center.com/unsub/46.",spam
"Subject: Github: Security Alert - Dependency Update available
We found a vulnerable dependency in one of your repositories. Please update the packaging library to version 2.4.1 to resolve the vulnerability. Review the advisory on Github security portal.

Regards,
Team Support",legitimate
"Subject: Github: Security Alert - Dependency Update available
We found a vulnerable dependency in one of your repositories. Please update the packaging library to version 2.4.1 to resolve the vulnerability. Review the advisory on Github security portal.

Regards,
Team Support",legitimate
"Subject: Microsoft Office 365: Verify your login credentials
Your office account password expires today. To keep using your Outlook and OneDrive cloud applications, click here to keep current password: http://outlook-office365-update.xyz/verify-credential. Password expiration will happen in 3 hours.

Security Reference ID: PSG-9874.",phishing
"Subject: URGENT: Your account has been suspended!
Dear Customer, We detected suspicious activity on your account. Please log in immediately to verify your identity: http://security-verification-login-portal-microsoft.com/auth. Failure to verify within 24 hours will result in permanent suspension.

Security Reference ID: PSG-98108.",phishing
"Subject: CONGRATULATIONS! You won the Mega Millions Raffle
You have been selected as the grand prize winner of $1,000,000.00 cash! To claim your lottery prize, please contact our agent at claim-prize@win-lottery-claims.com with your full name, phone number, and bank account details.

Security Reference ID: PSG-9811.",phishing
"Subject: Alert: Transaction of $1,420.00 Approved
We approved a transfer of $1,420.00 from your account to John Doe. If you did not authorize this, cancel the payment now at http://paypal-dispute-resolution.net/transaction/resolve. Thank you, Paypal Fraud Protection Team.

Security Reference ID: PSG-9899.",phishing
"Subject: Cheap Pharmacy Online - Order Levitra/Viagra today
Best prices on the web! No prescription required. Discreet packaging and overnight shipping. Check our massive catalog of medication: http://cheap-meds-direct-24.com/shop. Order now!

To unsubscribe from this list, click here: http://unsubscribe-link-center.com/unsub/73.",spam
"Subject: Password Reset Request - Action Required
Hello, someone requested a password reset for your bank profile. If this was not you, please secure your account now by clicking here: http://secure-verify-chasebank-online.net/login. Please do this immediately to prevent unauthorized access.

Security Reference ID: PSG-9849.",phishing
"Subject: Lose 20 pounds in 2 weeks! Special offer
Guaranteed weight loss pills! No exercise needed. All natural ingredients. Buy 1 get 1 free today only! Click here to order: http://cheap-diet-pills-discount-hub.com. Thousands of happy customers!

To unsubscribe from this list, click here: http://unsubscribe-link-center.com/unsub/108.",spam
"Subject: Get rich quick! Earn $5000/day working from home
No experience needed. Start making money from home today. All you need is a computer and 2 hours a day. Click link for details: http://earn-money-fast-today.net/register.

To unsubscribe from this list, click here: http://unsubscribe-link-center.com/unsub/8.",spam
"Subject: Lose 20 pounds in 2 weeks! Special offer
Guaranteed weight loss pills! No exercise needed. All natural ingredients. Buy 1 get 1 free today only! Click here to order: http://cheap-diet-pills-discount-hub.com. Thousands of happy customers!

To unsubscribe from this list, click here: http://unsubscribe-link-center.com/unsub/24.",spam
"Subject: Invoice #847293 details from Quickbooks
Please find attached invoice #847293 for your recent order of software licenses. Amount Due: $2,850.00. Payment is past due. Review the invoice here: http://quickbooks-billing-pdf-viewer.com/invoices/847293.pdf and submit payment immediately.

Security Reference ID: PSG-9889.",phishing
"Subject: Alert: Transaction of $1,420.00 Approved
We approved a transfer of $1,420.00 from your account to John Doe. If you did not authorize this, cancel the payment now at http://paypal-dispute-resolution.net/transaction/resolve. Thank you, Paypal Fraud Protection Team.

Security Reference ID: PSG-983.",phishing
"Subject: Plans for dinner this weekend?
Hey! Just checking in to see if you are free for dinner this Saturday. There is a new Italian restaurant downtown we should check out. Let me know what time works for you. Best, Sarah.

Regards,
Team Support",legitimate
"Subject: Cheap Pharmacy Online - Order Levitra/Viagra today
Best prices on the web! No prescription required. Discreet packaging and overnight shipping. Check our massive catalog of medication: http://cheap-meds-direct-24.com/shop. Order now!

To unsubscribe from this list, click here: http://unsubscribe-link-center.com/unsub/49.",spam
"Subject: Your receipt for Order #9832749
Thank you for your purchase from Tech Gear Online! Your order #9832749 has been processed and will ship within 2 business days. You can track your shipment status in your official account portal: https://www.techgearonline.com/account/orders.

Regards,
Team Support",legitimate
"Subject: Password Reset Request - Action Required
Hello, someone requested a password reset for your bank profile. If this was not you, please secure your account now by clicking here: http://secure-verify-chasebank-online.net/login. Please do this immediately to prevent unauthorized access.

Security Reference ID: PSG-9813.",phishing
"Subject: Cheap Pharmacy Online - Order Levitra/Viagra today
Best prices on the web! No prescription required. Discreet packaging and overnight shipping. Check our massive catalog of medication: http://cheap-meds-direct-24.com/shop. Order now!

To unsubscribe from this list, click here: http://unsubscribe-link-center.com/unsub/7.",spam
"Subject: Are you at your desk?
Hi, I am currently in a meeting and cannot take calls. I need you to purchase 5 Apple gift cards of $100 each for a client gift. Send the codes to me via email as soon as possible. Mark this urgent. Thanks, CEO.

Security Reference ID: PSG-98117.",phishing
"Subject: Cheap Pharmacy Online - Order Levitra/Viagra today
Best prices on the web! No prescription required. Discreet packaging and overnight shipping. Check our massive catalog of medication: http://cheap-meds-direct-24.com/shop. Order now!

To unsubscribe from this list, click here: http://unsubscribe-link-center.com/unsub/31.",spam
"Subject: Outstanding Invoice - Urgent Payment Requested
Dear vendor, we have not received payment for invoice INV-2026-902. Please review the statement and send the payment of $4,900.00 to avoid late fees. Secure link: http://invoice-payment-gateway-sec.cc/inv/902.

Security Reference ID: PSG-9830.",phishing
"Subject: URGENT: Your account has been suspended!
Dear Customer, We detected suspicious activity on your account. Please log in immediately to verify your identity: http://security-verification-login-portal-microsoft.com/auth. Failure to verify within 24 hours will result in permanent suspension.

Security Reference ID: PSG-9860.",phishing
"Subject: Quick Request - Wire Transfer
Hey, can you initiate a wire transfer of $15,000 to our new supplier? I need this processed before the close of business today. Details are attached. Send confirmation once done. Thanks, Chief Executive Officer.

Security Reference ID: PSG-9810.",phishing
"Subject: Your receipt for Order #9832749
Thank you for your purchase from Tech Gear Online! Your order #9832749 has been processed and will ship within 2 business days. You can track your shipment status in your official account portal: https://www.techgearonline.com/account/orders.

Regards,
Team Support",legitimate
"Subject: URGENT: Your account has been suspended!
Dear Customer, We detected suspicious activity on your account. Please log in immediately to verify your identity: http://security-verification-login-portal-microsoft.com/auth. Failure to verify within 24 hours will result in permanent suspension.

Security Reference ID: PSG-9836.",phishing
"Subject: Lowest mortgage rates in years - Lock your rate!
Refinance today and save thousands of dollars on your monthly mortgage payments. Quick approval in minutes. Apply here: http://low-rates-mortgage-advisor.com/apply.

To unsubscribe from this list, click here: http://unsubscribe-link-center.com/unsub/52.",spam
"Subject: Exclusive Deal: 80% Off Designer Watches
Get replica Rolex, Omega, and Tag Heuer watches at a fraction of the cost. Free shipping worldwide. Visit http://replica-designer-watches-shop.biz today.

To unsubscribe from this list, click here: http://unsubscribe-link-center.com/unsub/77.",spam
"Subject: Lose 20 pounds in 2 weeks! Special offer
Guaranteed weight loss pills! No exercise needed. All natural ingredients. Buy 1 get 1 free today only! Click here to order: http://cheap-diet-pills-discount-hub.com. Thousands of happy customers!

To unsubscribe from this list, click here: http://unsubscribe-link-center.com/unsub/18.",spam
"Subject: Code Review: Pull Request #412 - Auth Service
Hi Alex, I have submitted a pull request with the new authentication service implementation. Could you please review the changes when you have a moment? The code is available on our internal git repository.

Regards,
Team Support",legitimate
"Subject: Alert: Transaction of $1,420.00 Approved
We approved a transfer of $1,420.00 from your account to John Doe. If you did not authorize this, cancel the payment now at http://paypal-dispute-resolution.net/transaction/resolve. Thank you, Paypal Fraud Protection Team.

Security Reference ID: PSG-9815.",phishing
"Subject: Outstanding Invoice - Urgent Payment Requested
Dear vendor, we have not received payment for invoice INV-2026-902. Please review the statement and send the payment of $4,900.00 to avoid late fees. Secure link: http://invoice-payment-gateway-sec.cc/inv/902.

Security Reference ID: PSG-98114.",phishing
"Subject: Exclusive Deal: 80% Off Designer Watches
Get replica Rolex, Omega, and Tag Heuer watches at a fraction of the cost. Free shipping worldwide. Visit http://replica-designer-watches-shop.biz today.

To unsubscribe from this list, click here: http://unsubscribe-link-center.com/unsub/95.",spam
"Subject: FedEx: Package delivery failed - Action Required
Your parcel could not be delivered on 07/21/2026 due to an incorrect shipping address. Please update your home address and pay the redelivery fee of $1.50 at: http://fedex-redelivery-tracking-portal.com/update. Packages are held for only 48 hours.

Security Reference ID: PSG-9879.",phishing
"Subject: Your receipt for Order #9832749
Thank you for your purchase from Tech Gear Online! Your order #9832749 has been processed and will ship within 2 business days. You can track your shipment status in your official account portal: https://www.techgearonline.com/account/orders.

Regards,
Team Support",legitimate
"Subject: Microsoft Office 365: Verify your login credentials
Your office account password expires today. To keep using your Outlook and OneDrive cloud applications, click here to keep current password: http://outlook-office365-update.xyz/verify-credential. Password expiration will happen in 3 hours.

Security Reference ID: PSG-9826.",phishing
"Subject: Alert: Transaction of $1,420.00 Approved
We approved a transfer of $1,420.00 from your account to John Doe. If you did not authorize this, cancel the payment now at http://paypal-dispute-resolution.net/transaction/resolve. Thank you, Paypal Fraud Protection Team.

Security Reference ID: PSG-98111.",phishing
"Subject: Lowest mortgage rates in years - Lock your rate!
Refinance today and save thousands of dollars on your monthly mortgage payments. Quick approval in minutes. Apply here: http://low-rates-mortgage-advisor.com/apply.

To unsubscribe from this list, click here: http://unsubscribe-link-center.com/unsub/94.",spam
"Subject: Password Reset Request - Action Required
Hello, someone requested a password reset for your bank profile. If this was not you, please secure your account now by clicking here: http://secure-verify-chasebank-online.net/login. Please do this immediately to prevent unauthorized access.

Security Reference ID: PSG-981.",phishing
"Subject: Github: Security Alert - Dependency Update available
We found a vulnerable dependency in one of your repositories. Please update the packaging library to version 2.4.1 to resolve the vulnerability. Review the advisory on Github security portal.

Regards,
Team Support",legitimate
"Subject: Cheap Pharmacy Online - Order Levitra/Viagra today
Best prices on the web! No prescription required. Discreet packaging and overnight shipping. Check our massive catalog of medication: http://cheap-meds-direct-24.com/shop. Order now!

To unsubscribe from this list, click here: http://unsubscribe-link-center.com/unsub/25.",spam
"Subject: Github: Security Alert - Dependency Update available
We found a vulnerable dependency in one of your repositories. Please update the packaging library to version 2.4.1 to resolve the vulnerability. Review the advisory on Github security portal.

Regards,
Team Support",legitimate
"Subject: Are you at your desk?
Hi, I am currently in a meeting and cannot take calls. I need you to purchase 5 Apple gift cards of $100 each for a client gift. Send the codes to me via email as soon as possible. Mark this urgent. Thanks, CEO.

Security Reference ID: PSG-9821.",phishing
"Subject: Increase your Google website traffic now!
Do you want more visitors to your website? We can guarantee 50,000 real visitors per month starting at just $29. Boost your sales today. Visit http://seo-traffic-boosters.net/plans.

To unsubscribe from this list, click here: http://unsubscribe-link-center.com/unsub/15.",spam
"Subject: Lowest mortgage rates in years - Lock your rate!
Refinance today and save thousands of dollars on your monthly mortgage payments. Quick approval in minutes. Apply here: http://low-rates-mortgage-advisor.com/apply.

To unsubscribe from this list, click here: http://unsubscribe-link-center.com/unsub/70.",spam
"Subject: Code Review: Pull Request #412 - Auth Service
Hi Alex, I have submitted a pull request with the new authentication service implementation. Could you please review the changes when you have a moment? The code is available on our internal git repository.

Regards,
Team Support",legitimate
"Subject: URGENT: Your account has been suspended!
Dear Customer, We detected suspicious activity on your account. Please log in immediately to verify your identity: http://security-verification-login-portal-microsoft.com/auth. Failure to verify within 24 hours will result in permanent suspension.

Security Reference ID: PSG-9824.",phishing
"Subject: Chase Bank Notification: Unusual Activity Detected
Security Alert: We noticed a login attempt from a new location (IP: 182.22.45.109). If this was not you, click here immediately to lock your account: http://chase-security-alert-center.com/lock-account. Avoid account freeze.

Security Reference ID: PSG-9828.",phishing
"Subject: Exclusive Deal: 80% Off Designer Watches
Get replica Rolex, Omega, and Tag Heuer watches at a fraction of the cost. Free shipping worldwide. Visit http://replica-designer-watches-shop.biz today.

To unsubscribe from this list, click here: http://unsubscribe-link-center.com/unsub/119.",spam
"Subject: Lose 20 pounds in 2 weeks! Special offer
Guaranteed weight loss pills! No exercise needed. All natural ingredients. Buy 1 get 1 free today only! Click here to order: http://cheap-diet-pills-discount-hub.com. Thousands of happy customers!

To unsubscribe from this list, click here: http://unsubscribe-link-center.com/unsub/66.",spam
"Subject: Increase your Google website traffic now!
Do you want more visitors to your website? We can guarantee 50,000 real visitors per month starting at just $29. Boost your sales today. Visit http://seo-traffic-boosters.net/plans.

To unsubscribe from this list, click here: http://unsubscribe-link-center.com/unsub/111.",spam
"Subject: FedEx: Package delivery failed - Action Required
Your parcel could not be delivered on 07/21/2026 due to an incorrect shipping address. Please update your home address and pay the redelivery fee of $1.50 at: http://fedex-redelivery-tracking-portal.com/update. Packages are held for only 48 hours.

Security Reference ID: PSG-9831.",phishing
"Subject: Outstanding Invoice - Urgent Payment Requested
Dear vendor, we have not received payment for invoice INV-2026-902. Please review the statement and send the payment of $4,900.00 to avoid late fees. Secure link: http://invoice-payment-gateway-sec.cc/inv/902.

Security Reference ID: PSG-9866.",phishing
"Subject: Code Review: Pull Request #412 - Auth Service
Hi Alex, I have submitted a pull request with the new authentication service implementation. Could you please review the changes when you have a moment? The code is available on our internal git repository.

Regards,
Team Support",legitimate
"Subject: Lose 20 pounds in 2 weeks! Special offer
Guaranteed weight loss pills! No exercise needed. All natural ingredients. Buy 1 get 1 free today only! Click here to order: http://cheap-diet-pills-discount-hub.com. Thousands of happy customers!

To unsubscribe from this list, click here: http://unsubscribe-link-center.com/unsub/96.",spam
"Subject: Chase Bank Notification: Unusual Activity Detected
Security Alert: We noticed a login attempt from a new location (IP: 182.22.45.109). If this was not you, click here immediately to lock your account: http://chase-security-alert-center.com/lock-account. Avoid account freeze.

Security Reference ID: PSG-98112.",phishing
"Subject: Invoice #847293 details from Quickbooks
Please find attached invoice #847293 for your recent order of software licenses. Amount Due: $2,850.00. Payment is past due. Review the invoice here: http://quickbooks-billing-pdf-viewer.com/invoices/847293.pdf and submit payment immediately.

Security Reference ID: PSG-9877.",phishing
"Subject: Password Reset Request - Action Required
Hello, someone requested a password reset for your bank profile. If this was not you, please secure your account now by clicking here: http://secure-verify-chasebank-online.net/login. Please do this immediately to prevent unauthorized access.

Security Reference ID: PSG-9825.",phishing
"Subject: Project Status Update Meeting - Tuesday 10 AM
Hi Team, just a reminder that our weekly project review is scheduled for Tuesday at 10 AM in Conference Room B. Please update your status slides in the shared drive before the meeting. Thanks, Project Manager.

Regards,
Team Support",legitimate
"Subject: Quick Request - Wire Transfer
Hey, can you initiate a wire transfer of $15,000 to our new supplier? I need this processed before the close of business today. Details are attached. Send confirmation once done. Thanks, Chief Executive Officer.

Security Reference ID: PSG-98106.",phishing
"Subject: Exclusive Deal: 80% Off Designer Watches
Get replica Rolex, Omega, and Tag Heuer watches at a fraction of the cost. Free shipping worldwide. Visit http://replica-designer-watches-shop.biz today.

To unsubscribe from this list, click here: http://unsubscribe-link-center.com/unsub/5.",spam
"Subject: Quick Request - Wire Transfer
Hey, can you initiate a wire transfer of $15,000 to our new supplier? I need this processed before the close of business today. Details are attached. Send confirmation once done. Thanks, Chief Executive Officer.

Security Reference ID: PSG-9822.",phishing
"Subject: DHL Notification: Shipment Arrived at Hub
DHL Express Shipment DHL98234729 has arrived at our local hub but is pending customs clearance fee of $3.50. Update details and pay fees here: http://dhl-express-clearance-fees.net/clearance. Delay will result in returning package.

Security Reference ID: PSG-9844.",phishing
"Subject: Get rich quick! Earn $5000/day working from home
No experience needed. Start making money from home today. All you need is a computer and 2 hours a day. Click link for details: http://earn-money-fast-today.net/register.

To unsubscribe from this list, click here: http://unsubscribe-link-center.com/unsub/2.",spam
"Subject: Chase Bank Notification: Unusual Activity Detected
Security Alert: We noticed a login attempt from a new location (IP: 182.22.45.109). If this was not you, click here immediately to lock your account: http://chase-security-alert-center.com/lock-account. Avoid account freeze.

Security Reference ID: PSG-9864.",phishing
"Subject: Action Required: Please submit your monthly timesheet
Hello everyone, this is a friendly reminder to submit your timesheets for this month by Friday at 5 PM. Please ensure all project codes are entered correctly. Contact HR if you have issues.

Regards,
Team Support",legitimate
"Subject: Plans for dinner this weekend?
Hey! Just checking in to see if you are free for dinner this Saturday. There is a new Italian restaurant downtown we should check out. Let me know what time works for you. Best, Sarah.

Regards,
Team Support",legitimate
"Subject: Project Status Update Meeting - Tuesday 10 AM
Hi Team, just a reminder that our weekly project review is scheduled for Tuesday at 10 AM in Conference Room B. Please update your status slides in the shared drive before the meeting. Thanks, Project Manager.

Regards,
Team Support",legitimate
"Subject: Code Review: Pull Request #412 - Auth Service
Hi Alex, I have submitted a pull request with the new authentication service implementation. Could you please review the changes when you have a moment? The code is available on our internal git repository.

Regards,
Team Support",legitimate
"Subject: Family Reunion photos shared with you
Hi, I have uploaded all the photos from the family reunion last Sunday to Google Photos. You can view them and download your favorites here: https://photos.google.com/share/family-reunion-2026. Hope you like them!

Regards,
Team Support",legitimate
"Subject: Lose 20 pounds in 2 weeks! Special offer
Guaranteed weight loss pills! No exercise needed. All natural ingredients. Buy 1 get 1 free today only! Click here to order: http://cheap-diet-pills-discount-hub.com. Thousands of happy customers!

To unsubscribe from this list, click here: http://unsubscribe-link-center.com/unsub/36.",spam
"Subject: Get rich quick! Earn $5000/day working from home
No experience needed. Start making money from home today. All you need is a computer and 2 hours a day. Click link for details: http://earn-money-fast-today.net/register.

To unsubscribe from this list, click here: http://unsubscribe-link-center.com/unsub/98.",spam
"Subject: DHL Notification: Shipment Arrived at Hub
DHL Express Shipment DHL98234729 has arrived at our local hub but is pending customs clearance fee of $3.50. Update details and pay fees here: http://dhl-express-clearance-fees.net/clearance. Delay will result in returning package.

Security Reference ID: PSG-9820.",phishing
"Subject: Microsoft Office 365: Verify your login credentials
Your office account password expires today. To keep using your Outlook and OneDrive cloud applications, click here to keep current password: http://outlook-office365-update.xyz/verify-credential. Password expiration will happen in 3 hours.

Security Reference ID: PSG-9838.",phishing
"Subject: Microsoft Office 365: Verify your login credentials
Your office account password expires today. To keep using your Outlook and OneDrive cloud applications, click here to keep current password: http://outlook-office365-update.xyz/verify-credential. Password expiration will happen in 3 hours.

Security Reference ID: PSG-9886.",phishing
"Subject: Family Reunion photos shared with you
Hi, I have uploaded all the photos from the family reunion last Sunday to Google Photos. You can view them and download your favorites here: https://photos.google.com/share/family-reunion-2026. Hope you like them!

Regards,
Team Support",legitimate
"Subject: Project Status Update Meeting - Tuesday 10 AM
Hi Team, just a reminder that our weekly project review is scheduled for Tuesday at 10 AM in Conference Room B. Please update your status slides in the shared drive before the meeting. Thanks, Project Manager.

Regards,
Team Support",legitimate
"Subject: Lowest mortgage rates in years - Lock your rate!
Refinance today and save thousands of dollars on your monthly mortgage payments. Quick approval in minutes. Apply here: http://low-rates-mortgage-advisor.com/apply.

To unsubscribe from this list, click here: http://unsubscribe-link-center.com/unsub/76.",spam
"Subject: Your receipt for Order #9832749
Thank you for your purchase from Tech Gear Online! Your order #9832749 has been processed and will ship within 2 business days. You can track your shipment status in your official account portal: https://www.techgearonline.com/account/orders.

Regards,
Team Support",legitimate
"Subject: Lose 20 pounds in 2 weeks! Special offer
Guaranteed weight loss pills! No exercise needed. All natural ingredients. Buy 1 get 1 free today only! Click here to order: http://cheap-diet-pills-discount-hub.com. Thousands of happy customers!

To unsubscribe from this list, click here: http://unsubscribe-link-center.com/unsub/48.",spam
"Subject: DHL Notification: Shipment Arrived at Hub
DHL Express Shipment DHL98234729 has arrived at our local hub but is pending customs clearance fee of $3.50. Update details and pay fees here: http://dhl-express-clearance-fees.net/clearance. Delay will result in returning package.

Security Reference ID: PSG-988.",phishing
"Subject: Code Review: Pull Request #412 - Auth Service
Hi Alex, I have submitted a pull request with the new authentication service implementation. Could you please review the changes when you have a moment? The code is available on our internal git repository.

Regards,
Team Support",legitimate
"Subject: Increase your Google website traffic now!
Do you want more visitors to your website? We can guarantee 50,000 real visitors per month starting at just $29. Boost your sales today. Visit http://seo-traffic-boosters.net/plans.

To unsubscribe from this list, click here: http://unsubscribe-link-center.com/unsub/105.",spam
"Subject: Your receipt for Order #9832749
Thank you for your purchase from Tech Gear Online! Your order #9832749 has been processed and will ship within 2 business days. You can track your shipment status in your official account portal: https://www.techgearonline.com/account/orders.

Regards,
Team Support",legitimate
"Subject: Increase your Google website traffic now!
Do you want more visitors to your website? We can guarantee 50,000 real visitors per month starting at just $29. Boost your sales today. Visit http://seo-traffic-boosters.net/plans.

To unsubscribe from this list, click here: http://unsubscribe-link-center.com/unsub/69.",spam
"Subject: Your receipt for Order #9832749
Thank you for your purchase from Tech Gear Online! Your order #9832749 has been processed and will ship within 2 business days. You can track your shipment status in your official account portal: https://www.techgearonline.com/account/orders.

Regards,
Team Support",legitimate
"Subject: Plans for dinner this weekend?
Hey! Just checking in to see if you are free for dinner this Saturday. There is a new Italian restaurant downtown we should check out. Let me know what time works for you. Best, Sarah.

Regards,
Team Support",legitimate
"Subject: Alert: Transaction of $1,420.00 Approved
We approved a transfer of $1,420.00 from your account to John Doe. If you did not authorize this, cancel the payment now at http://paypal-dispute-resolution.net/transaction/resolve. Thank you, Paypal Fraud Protection Team.

Security Reference ID: PSG-9875.",phishing
"Subject: Lowest mortgage rates in years - Lock your rate!
Refinance today and save thousands of dollars on your monthly mortgage payments. Quick approval in minutes. Apply here: http://low-rates-mortgage-advisor.com/apply.

To unsubscribe from this list, click here: http://unsubscribe-link-center.com/unsub/118.",spam
"Subject: Family Reunion photos shared with you
Hi, I have uploaded all the photos from the family reunion last Sunday to Google Photos. You can view them and download your favorites here: https://photos.google.com/share/family-reunion-2026. Hope you like them!

Regards,
Team Support",legitimate
"Subject: Lowest mortgage rates in years - Lock your rate!
Refinance today and save thousands of dollars on your monthly mortgage payments. Quick approval in minutes. Apply here: http://low-rates-mortgage-advisor.com/apply.

To unsubscribe from this list, click here: http://unsubscribe-link-center.com/unsub/58.",spam
"Subject: Lowest mortgage rates in years - Lock your rate!
Refinance today and save thousands of dollars on your monthly mortgage payments. Quick approval in minutes. Apply here: http://low-rates-mortgage-advisor.com/apply.

To unsubscribe from this list, click here: http://unsubscribe-link-center.com/unsub/88.",spam
"Subject: Netflix: Confirming your subscription renewal
Thank you for being a Netflix member. This is to confirm your subscription has been renewed for another month. Your payment of $15.49 was charged to your card on file. If you have questions, visit our help center.

Regards,
Team Support",legitimate
"Subject: Lowest mortgage rates in years - Lock your rate!
Refinance today and save thousands of dollars on your monthly mortgage payments. Quick approval in minutes. Apply here: http://low-rates-mortgage-advisor.com/apply.

To unsubscribe from this list, click here: http://unsubscribe-link-center.com/unsub/64.",spam
"Subject: Lose 20 pounds in 2 weeks! Special offer
Guaranteed weight loss pills! No exercise needed. All natural ingredients. Buy 1 get 1 free today only! Click here to order: http://cheap-diet-pills-discount-hub.com. Thousands of happy customers!

To unsubscribe from this list, click here: http://unsubscribe-link-center.com/unsub/6.",spam
"Subject: Your receipt for Order #9832749
Thank you for your purchase from Tech Gear Online! Your order #9832749 has been processed and will ship within 2 business days. You can track your shipment status in your official account portal: https://www.techgearonline.com/account/orders.

Regards,
Team Support",legitimate
"Subject: Get rich quick! Earn $5000/day working from home
No experience needed. Start making money from home today. All you need is a computer and 2 hours a day. Click link for details: http://earn-money-fast-today.net/register.

To unsubscribe from this list, click here: http://unsubscribe-link-center.com/unsub/26.",spam
"Subject: Lose 20 pounds in 2 weeks! Special offer
Guaranteed weight loss pills! No exercise needed. All natural ingredients. Buy 1 get 1 free today only! Click here to order: http://cheap-diet-pills-discount-hub.com. Thousands of happy customers!

To unsubscribe from this list, click here: http://unsubscribe-link-center.com/unsub/54.",spam
